"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ACSL5",-0.15850890733145,6.51977746927606,-0.439852230033742,0.66784282674987,1,-4.61643382965911
"ACSL6",0.572400574263461,0.972307883410379,0.981900240641058,0.345485758315453,1,-4.59663289186439
"ACSM1",-0.264457604859229,1.12248008553885,-0.354767108948138,0.728906028677416,1,-4.61828769583923
"ACSM2A",0.84127266476105,1.24547066716424,0.947439306674202,0.362059990219805,1,-4.59825037477295
"ACSM2B",0.452009601487026,0.562558337511728,0.958658179085591,0.356603373936366,1,-4.59772837304423
"ACSM3",-0.0983476431809293,3.062488824359,-0.150095199490485,0.883176831881821,1,-4.62116016920651
"ACSM4",0.998530466652625,0.965031847136407,1.64373293173537,0.126093651633182,1,-4.55942471540078
"ACSM5",-0.199361397714922,0.549812765972428,-0.348982376787938,0.733135000208288,1,-4.61839996381849
"ACSS1",0.32330140300844,7.72533241362869,0.776678047832349,0.4523511967107,1,-4.605612350096
"ACSS2",0.138053285905805,8.09381964429995,0.483085143265184,0.637708308529799,1,-4.61534908911045
"ACSS3",-0.180876648487873,0.0626111475534943,-0.858549074207625,0.40737180174662,1,-4.60222358689065
"ACTA1",0.126382887397208,1.61873858912088,0.149072268068962,0.88396662490754,1,-4.62116874764916
"ACTA2",0.254805273183261,8.73139193674072,0.465069780436467,0.650187601283356,1,-4.61581261296428
"ACTB",0.0241472229291049,12.2372502375209,0.0801279761342066,0.937453116678878,1,-4.6216122814734
"ACTC1",2.41906862941575,0.948953062815833,4.71533117780022,0.000497686016709046,1,-4.39839743578876
"ACTG1",-0.324033349197467,13.1332061325323,-1.58764031222197,0.138290867517146,1,-4.56289957587331
"ACTG2",1.76356461531159,3.8990879387874,0.860588874090919,0.406290713085885,1,-4.60213575557137
"ACTL6A",-0.195998683025445,8.03530865526767,-0.540177522405337,0.598933176989894,1,-4.61377324403356
"ACTL6B",1.39008577651205,3.14433023774702,2.12302876331314,0.0551822220896191,1,-4.52889207777002
"ACTL7A",-0.728724569791901,1.01592240683054,-1.27975187810394,0.224763706511738,1,-4.58111183358074
"ACTL7B",1.12425630486571,2.0223427429282,2.17743638020474,0.0500707803382898,1,-4.52540716606041
"ACTL8",0.265320223178628,0.494028062899982,0.355153155000674,0.728624136188069,1,-4.61828014053474
