Gene_Symbol,GSM1289627,GSM1289628,GSM1289629,GSM1289630,GSM1289631,GSM1289632,GSM1289633,GSM1289634,GSM1289635,GSM1289636,GSM1289637,GSM1289638,GSM1289639,GSM1289640,GSM1289641
LOC728534,8.584203,-0.02658487,6.793954,5.934168,35.65787,3.343374,-0.004383075,9.143471,15.83722,16.50669,18.0259,11.06492,13.19222,9.273896,14.65128
LOC728554,389.81080700000007,529.9923413333333,399.021338,262.21632,304.782628,420.4159573333332,689.5532549000001,362.18516446666666,272.1436682666667,320.92500773333336,737.5240873333332,266.51604533333335,613.3212363333333,538.2315043333333,844.2928703333333
LOC728556,85.99558,86.48164,85.85823,80.69244,93.56918,98.83073,68.78175,118.9521,43.525,102.3514,149.6431,95.21505,79.05736,122.6252,164.6681
LOC728564,172.2179,195.5549,129.3844,77.30961,101.4246,202.6902,151.7513,179.5767,121.3093,157.573,265.0743,121.9854,144.8604,160.4794,320.9411
LOC728565,33.23843,52.64428,51.23652,29.59462,64.66775,50.82125,5.191655,-0.01909331,32.62542,6.341077,15.24109,21.73781,35.99239,29.11611,21.38001
LOC728601,4.587689,0.4773038,-0.7502568,7.93087,-3.335742,-1.683753,-6.851992,-3.574165,-7.092885,-1.199224,3.818382,-4.184545,-4.101593,-1.265039,-4.643682
LOC728608,13.67515,37.87804,15.05988,110.7041,37.6734,29.03646,14.56869,20.03301,57.61306,13.39411,8.346494,11.84453,27.79762,9.552336,15.31786
LOC728621,4.58688,-2.516311,-3.478893,5.939066,-0.4724505,10.217,-8.097561,-3.083548,-5.097897,-3.074519,2.757949,-3.829038,-0.2638796,3.55862,-3.44925
LOC728626,-8.025372,-0.4659904,13.01886,4.214231,1.783925,-5.283941,7.17877,-0.04688262,1.324913,1.152557,-3.101409,0.4443026,-3.886315,10.46402,-2.704329
LOC728635,97.02739000000001,99.96168845,77.2812305,82.2051742,57.75082435,95.821684,48.2571775,53.751235,58.701277855,69.10381174999999,81.19518535,50.689003,55.649125500000004,65.6337925,48.9234375
LOC728636,7.467455,9.183827,4.261278,-0.07370757,-4.595953,-12.44543,16.50219,-3.664186,-6.691998,-7.99698,-6.530427,-4.700758,-3.108289,-5.943176,-1.394304
LOC728637,0.8146581,-0.4907506,-4.300959,-0.6630448,2.957966,-3.098494,0.458134,1.360264,0.217247,2.974437,2.546679,4.284359,0.1965024,4.25396,0.2039734
LOC728643,153.225,269.9981,242.2907,81.49483,156.6123,143.8177,50.46498,224.5498,76.88306,59.30386,167.33,93.95979,172.396,100.7277,102.4732
LOC728653,17.75413,20.74465,27.51799,29.68296,30.93844,20.46761,32.26274,2.367364,68.67692,5.137638,3.90044,9.920358,27.90999,9.173571,15.75643
LOC728654,6.815152,-0.4909907,-3.491564,4.210267,10.34858,-0.6556801,10.05549,6.885954,4.973063,2.963788,4.944987,6.36046,4.951262,8.258046,1.85148
LOC728656,4.570868,-2.514649,1.372417,7.92756,-0.4727137,-0.6583132,-0.003711688,-1.885372,-2.514649,-3.337847,-3.675252,-1.274908,-0.5313001,-1.060404,-1.240136
LOC728660,1.990641,-2.506664,-0.8422811,1.442003,10.41936,-0.6589017,2.865065,37.35391,17.14519,14.02347,15.03631,7.694907,11.8291,14.65292,12.54286
LOC728670,-5.72893,7.385505,-0.002750639,-0.07589695,0.9178202,-0.8387187,8.584203,2.948513,-0.9393679,2.918505,-0.3552399,0.2219272,4.279274,-4.618253,4.769614
LOC728689,22.963075,22.369597,13.636373500000001,24.4922765,7.7609984999999995,24.8894913,24.1914575,18.29259,21.570210499999998,23.331976,28.5414675,28.192339,20.975482999999997,31.149,15.770441499999999
LOC728709,1.990549,4.665216,1.482225,-6.03193,-3.334141,24.67137,8.126209,-5.086668,1.431111,0.5545298,2.282273,-0.6714668,-1.90389,-1.920805,-2.247782
LOC728715,15.40011,57.0012,18.56909,25.5634,20.91223,46.27776,26.29535,35.14778,36.08924,31.67017,69.59091,24.41496,23.02456,48.09135,64.82497
LOC728723,-3.751081,11.41763,6.899645,10.06449,10.42592,-1.663756,-3.91537,34.82512,5.168364,-1.363652,3.479264,1.427504,0.5740471,4.63728,1.341288
LOC728729,3.475157,-2.509408,2.698672,-5.462604,-2.528328,2.041724,-1.228165,1.002557,1.458017,2.535949,1.989848,2.022389,-1.919538,-1.215113,10.33416
LOC728734,142.04401224999998,130.41802900000002,223.05821650000001,269.298044655,252.4792535,123.972077925,67.70880299999999,126.95536175,153.636062,151.3984165,81.33209575000001,129.29234150000002,154.786131075,161.978798225,78.2627445
LOC728739,67.99443,54.8684,44.59699,-0.0530871,16.9451,53.4795,5.871697,70.35722,27.90139,46.07896,66.46664,39.25795,47.78741,74.51395,70.23226
LOC728744,5.864986,-3.531051,4.248537,-4.414446,35.89057,2.718004,-2.499168,-1.397114,0.1865095,-0.8336507,3.498622,-2.139839,-2.601218,-1.77498,-7.874817
LOC728747,-7.636323,-5.085957,-4.632418,-0.6539919,4.109642,-1.666448,2.054769,2.695321,2.714219,-0.6494845,0.07113598,-4.240182,-1.890811,1.950605,2.247272
LOC728758,24.03514,26.48212,28.5099,25.56139,10.42262,30.05945,28.67458,19.69595,55.49113,49.98212,30.33663,37.80262,44.84201,46.059,45.50296
LOC728760,4.233639999999999,46.7919125,20.47002855,10.566292,20.412163,12.996825,32.9668604,130.48944,19.4470185,23.956744999999998,13.49558,25.4337455,32.891947,26.940375,77.694385
